person,cause_short,date,dept_name,state
Police Officer Earl William Crandall,Heart attack,1966-07-20,Charlevoix Police Department, MI
Police Officer I Juan Mafnas Santos,Gunfire,1966-07-22,Guam Police Department, GU
Police Officer Richard Rehmann,Fall,1966-07-28,Philadelphia Police Department, PA
Sergeant Frederick D. Hudson,Gunfire,1966-07-29,East St. Louis Police Department, IL
Police Officer Billy Paul Speed,Gunfire,1966-08-01,Austin Police Department, TX
Patrolman Edward Monzillo,Motorcycle accident,1966-08-02,New York City Police Department, NY
Lieutenant Ben L. Sentell,Automobile accident,1966-08-03,Georgia State Patrol, GA
Deputy Sheriff Leo Borders,Vehicle pursuit,1966-08-03,Washtenaw County Sheriff's Department, MI
Night Watchman Lewis Thomas Snyder,Gunfire,1966-08-04,Roscoe Police Department, TX
"Trooper Joseph Newton Sawtell, Jr.",Automobile accident,1966-08-05,Florida Highway Patrol, FL
Constable Roy E. Carter,Heart attack,1966-08-06,Miami Township Police Department, OH
Captain James W. Parr,Drowned,1966-08-11,Florida Department of Corrections, FL
Patrolman Perley C. Kennie,Heart attack,1966-08-11,Westbrook Police Department, ME
Lieutenant Samual W. Gibbs,Gunfire,1966-08-11,Tennessee Highway Patrol, TN
Patrolman Harold Levine,Motorcycle accident,1966-08-12,New York City Police Department, NY
Detective William L. Bell,Vehicular assault,1966-08-14,Detroit Police Department, MI
Detective Marlyn W. Bateson,Vehicular assault,1966-08-14,Detroit Police Department, MI
Policeman Efrain Alejandro-Rivera,Automobile accident,1966-08-14,Puerto Rico Police Department, PR
Patrolman Jerry Edwin Trimmer,Automobile accident,1966-08-15,Henrico County Police Department, VA
Corrections Officer Raymond A. Wietstock,Assault,1966-08-16,North Dakota State Industrial School, ND
Wildlife Officer Marvin J. Albritton,Accidental,1966-08-18,Florida Game and Fresh Water Fish Commission, FL
Sergeant Carl Richard Root,Gunfire,1966-08-18,Duluth Police Department, MN
Sheriff David Walter Oaks,Gunfire,1966-08-21,Burke County Sheriff's Office, NC
Patrolman Robert Dowidait,Vehicle pursuit,1966-08-22,Dearborn Heights Police Department, MI
Police Officer James Groark,Heart attack,1966-08-22,Westchester County Parkway Police Department, NY
Officer William C. Isaacs,Motorcycle accident,1966-08-25,California Highway Patrol, CA
"Deputy Sheriff Patrick Ray Bolton, Jr.",Electrocuted,1966-08-26,Walworth County Sheriff's Department, WI
Policeman Malcolm Beaty,Vehicle pursuit,1966-08-29,Los Angeles Police Department, CA
Policeman Alex N. Ilnicki,Aircraft accident,1966-08-30,Los Angeles Police Department, CA
Policeman Lawrence D. Amberg,Aircraft accident,1966-08-30,Los Angeles Police Department, CA
"Patrolman William L. ""Bill"" Smith",Gunfire,1966-08-30,DeQuincy Police Department, LA
Police Officer Robert D. White,Motorcycle accident,1966-09-02,Philadelphia Police Department, PA
Lieutenant James A. Walker,Gunfire,1966-09-03,Emmett Police Department, ID
Police Officer William T. Birch,Gunfire,1966-09-04,Fort Lee Police Department, NJ
Patrolman Marion Charles Steele,Gunfire,1966-09-10,South Carolina Highway Patrol, SC
Patrolman James D. Clayton,Electrocuted,1966-09-12,New Orleans Police Department, LA
Police Officer Foster C. Wildoner,Vehicle pursuit,1966-09-16,Marion Police Department, IN
Officer Homer Anthony Quave,Motorcycle accident,1966-09-19,Atlanta Police Department, GA
Chief of Police David Reasons,Gunfire,1966-09-19,Stantonsburg Police Department, NC
Patrolman Daniel J. Quinnan,Gunfire,1966-09-20,Chicago Police Department, IL
Trooper Harry F. Locke,Automobile accident,1966-09-24,Arkansas State Police, AR
Officer Jimmy Lee Bland,Vehicle pursuit,1966-09-26,Savannah Police Department, GA
"Patrolman George Levi Randall, Jr.",Assault,1966-09-26,Easton Police Department, MA
Patrolman Albert Saccocia,Heart attack,1966-09-30,East Bridgewater Police Department, MA
Sergeant William F. Delmar,Automobile accident,1966-10-01,Roosevelt Park Police Department, MI
Patrolman James Cosgrove,Vehicular assault,1966-10-07,New York City Police Department, NY
Investigator Charles Covington,Gunfire,1966-10-09,United States Department of the Treasury - Internal Revenue Service - Alcohol and Tobacco Tax Division, US
Trooper Eugene Brakebill,Heart attack,1966-10-09,Tennessee Highway Patrol, TN
Police Officer Robert D. Martin,Motorcycle accident,1966-10-12,Grand Forks Police Department, ND
Officer Ronald E. Trautman,Motorcycle accident,1966-10-20,Jamestown Police Department, ND
Chief of Police John R. Bohl,Heart attack,1966-10-25,Chardon Police Department, OH
Policeman Keith Gregory Dupuis,Gunfire,1966-10-27,Los Angeles Police Department, CA
Patrolman William R. H. Fortye,Gunfire,1966-10-28,Las Vegas Police Department, NV
Patrolman Jean C. Mondville,Heart attack,1966-10-29,Biddeford Police Department, ME
Sheriff Robert Bornholdt,Automobile accident,1966-10-30,O'Brien County Sheriff's Department, IA
Lieutenant David Joe Kraxner,Gunfire,1966-10-31,Independence Police Department, MO
"Deputy Sheriff Claude V. Southerlin, Jr.",Automobile accident,1966-10-31,Greenville County Sheriff's Office, SC
Patrolman Farris J. Resha,Vehicle pursuit,1966-11-02,Winsted Police Department, CT
Patrolman Anthony F. Campisi,Stabbed,1966-11-04,New York City Police Department, NY
Trooper Mack Edward Brady,Automobile accident,1966-11-09,Kentucky State Police, KY
Deputy Sheriff Montelle Bulloch Williams,Gunfire,1966-11-09,Camden County Sheriff's Office, NC
"Sergeant Jay Elmo ""Jerry"" Wignall",Gunfire,1966-11-11,Tucumcari Police Department, NM
Trooper James D. Conrad,Automobile accident,1966-11-11,New York State Police, NY
Patrolman Ronald E. Borg,Vehicle pursuit,1966-11-16,Wheaton Police Department, IL
Patrolman Sidney Crenshaw,Vehicular assault,1966-11-22,Orlando Police Department, FL
Sheriff Walter Emery Meek,Gunfire,1966-11-26,Johnson County Sheriff's Office, KY
Deputy Chief of Police Virgil Laurence Deyo,Gunfire,1966-11-29,Huron Police Department, SD
Chief of Police Walter Eugene Markel,Gunfire,1966-12-02,Ironton Police Department, OH
Deputy Sheriff Lason R. Cope,Struck by train,1966-12-03,Rapides Parish Sheriff's Office, LA
Sergeant Stanley Van Tuinen,Gunfire,1966-12-03,Grand Rapids Police Department, MI
Marine Patrolman Walter E. Sawyer,Automobile accident,1966-12-07,Alabama Department of Conservation and Natural Resources - Marine Police Division, AL
Patrolman Walter Hird,Assault,1966-12-12,Methuen Police Department, MA
Probationary Patrolman Raul Yglesias,Gunfire,1966-12-12,New York City Police Department, NY
Detective Frank H. Soukup,Gunfire,1966-12-16,Lincoln Police Department, NE
"Patrolman Arthur Joe Lavender, Jr.",Motorcycle accident,1966-12-16,El Paso Police Department, TX
Trooper William R. Rayner,Gunfire,1966-12-18,Indiana State Police, IN
Undersheriff John A. Maslach,Automobile accident,1966-12-20,Nye County Sheriff's Office, NV
Sheriff George Berra,Automobile accident,1966-12-20,Nye County Sheriff's Office, NV
Deputy Sheriff Richard O. Slates,Fall,1966-12-21,Kern County Sheriff's Department, CA
Deputy Sheriff Robert Willard Watson,Automobile accident,1966-12-31,Fulton County Sheriff's Office, GA
Deputy Sheriff Dean Ray Foster,Gunfire,1967-01-01,Eaton County Sheriff's Department, MI
Police Officer Gerald E. Rosa,Struck by vehicle,1967-01-01,Battle Creek City Police Department, MI
Conservation Officer Ted Sloan,Gunfire,1967-01-01,"Mississippi Department of Wildlife, Fisheries and Parks", MS
Officer Danny L. Redmon,Vehicle pursuit,1967-01-03,Lexington Police Department, KY
"Deputy Sheriff Clarence W. Johnson, Sr.",Vehicular assault,1967-01-10,Anne Arundel County Sheriff's Office, MD
Deputy Sheriff Jerry Russo,Automobile accident,1967-01-14,Washtenaw County Sheriff's Department, MI
Deputy Sheriff Marshall G. Rader,Automobile accident,1967-01-14,Greene County Sheriff's Department, TN
Detective Harold A. Jacob,Heart attack,1967-01-18,New York City Police Department, NY
Sheriff Ivan R. Newell,Automobile accident,1967-01-19,Thurston County Sheriff's Department, NE
"Lieutenant Joseph Rafay, Jr.",Heart attack,1967-01-19,Verona Borough Police Department, PA
Police Officer Louis L. Sander,Gunfire,1967-01-21,Houston Police Department, TX
Deputy Sheriff Milton Raymond Smalling,Gunfire (Accidental),1967-01-22,Imperial County Sheriff's Office, CA
"Police Officer Harry Lorain Conyers, Jr.",Motorcycle accident,1967-01-22,Clearwater Police Department, FL
Patrolman John Barry,Heart attack,1967-01-24,New York City Police Department, NY
Officer Frank R. Medeiros,Motorcycle accident,1967-01-25,Honolulu Police Department, HI
Police Officer William J. Baumer,Heart attack,1967-01-25,Baltimore City Police Department, MD
Deputy Sheriff Benjamin Hawkins Berry,Gunfire,1967-02-01,Travis County Sheriff's Office, TX
Patrolman Adolph Frederick Bush,Gunfire,1967-02-05,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Patrolman William Y. Bell,Gunfire,1967-02-06,Chicago Police Department, IL
Chief of Police Cloyd Aubrine Charlton,Gunfire,1967-02-06,Adairville Police Department, KY
Patrolman David W. Carpenter,Vehicular assault,1967-02-07,Portsmouth Police Department, VA
Police Officer Clarence Leo Wagner,Motorcycle accident,1967-02-10,West Palm Beach Police Department, FL
Police Officer Frederick K. Kontner,Gunfire,1967-02-10,Baltimore City Police Department, MD
Detective Fred W. Lenzke,Heart attack,1967-02-14,Racine Police Department, WI
Officer Michael L. Little,Motorcycle accident,1967-02-16,Atlanta Police Department, GA
Patrolman Robert Lee Louviere,Motorcycle accident,1967-02-17,Plaquemine Police Department, LA
Police Officer Gilbert Montoya,Gunfire,1967-02-18,Moriarty Police Department, NM
Deputy Sheriff Casto C. Robertson,Gunfire,1967-02-20,Washington County Sheriff's Department, AR
Conservation Officer Ronald E. Shager,Struck by train,1967-02-22,Minnesota Department of Natural Resources - Enforcement Division, MN
Patrolman Jon D. Birchem,Vehicle pursuit,1967-02-27,Ohio State Highway Patrol, OH
Officer Ray Q. Mills,Vehicular assault,1967-03-12,Fortuna Police Department, CA
Detective John D. Pollins,Gunfire,1967-03-14,New York City Police Department, NY
Agent Clifford W. Roberts,Struck by train,1967-03-14,Oklahoma State Bureau of Investigation, OK
Reserve Deputy Sheriff Michael V. Wigderson,Gunfire (Accidental),1967-03-20,Los Angeles County Sheriff's Department, CA
Sergeant Gerald E. Doll,Gunfire,1967-03-29,Chicago Police Department, IL
Correctional Officer Max M. Hinckley,Explosion,1967-03-31,Michigan Department of Corrections, MI
Correctional Officer Joe D. Crater,Explosion,1967-03-31,Michigan Department of Corrections, MI
Police Officer William Harold Fletcher,Gunfire,1967-04-06,West Palm Beach Police Department, FL
Police Officer David Richard Van Curler,Gunfire,1967-04-06,West Palm Beach Police Department, FL
Patrolman Ronald K. Wells,Gunfire (Accidental),1967-04-06,Dayton Police Department, OH
Chief of Police Marvin R. Foltz,Gunfire,1967-04-07,East Donegal Township Police Department, PA
Petty Officer Edgar Allen Culbertson,Drowned,1967-04-30,United States Coast Guard Office of Law Enforcement, US
Deputy Sheriff Herbert I. Wexler,Automobile accident,1967-04-30,Lucas County Sheriff's Department, OH
Officer Russell W. Ponton,Motorcycle accident,1967-05-02,Metropolitan Police Department, DC
Investigator Carl Schaufelberger,Automobile accident,1967-05-02,Morris County Prosecutor's Office, NJ
Police Officer Ronald T. Hogan,Gunfire,1967-05-02,Milwaukee Police Department, WI
Police Officer John J. Hartenstein,Automobile accident,1967-05-04,Detroit Police Department, MI
Investigator Paul Robert Marks,Automobile accident,1967-05-05,Tuolumne County Sheriff's Office, CA
"Police Officer Paul G. Anderson, Jr.",Vehicle pursuit,1967-05-07,Metro-Dade Police Department, FL
Policeman Roger R. Warren,Gunfire,1967-05-08,Los Angeles Police Department, CA
Deputy Sheriff George Petrogallo,Automobile accident,1967-05-09,Bexar County Sheriff's Office, TX
Patrolman Steve J. Huber,Gunfire,1967-05-11,Cleveland Police Department, OH
Trooper William M. Hall,Automobile accident,1967-05-11,Oregon State Police, OR
Officer Paul Benedict Oatman,Motorcycle accident,1967-05-12,St. Louis Metropolitan Police Department, MO
Border Patrol Inspector Richard A. Lugo,Automobile accident,1967-05-14,United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US
"Lieutenant Edwin Bryson Mitchell, Jr.",Gunfire,1967-05-17,Atlanta Police Department, GA
Police Officer Louis R. Kuba,Gunfire,1967-05-17,Houston Police Department, TX
Patrolman Owen Ted Lyon,Gunfire,1967-05-19,Redding Police Department, CA
Patrolman Leon Scott,Gunfire,1967-05-20,Saginaw Police Department, MI
Patrolman Gordon McFall,Gunfire,1967-05-23,Osceola Police Department, AR
Patrolman Herman Stallworth,Gunfire,1967-05-24,Chicago Police Department, IL
Deputy Sheriff Paul Andrew Powell,Struck by train,1967-05-26,Polk County Sheriff's Office, FL
Trooper Frank A. Doris,Gunfire,1967-05-27,Illinois State Police, IL
Lieutenant Bernard C. Hill,Automobile accident,1967-05-28,Kansas Highway Patrol, KS
Police Officer Jack Sargent,Stabbed,1967-06-03,Tazewell Police Department, VA
Deputy Sheriff Howard Duane Mead,Assault,1967-06-04,Niagara County Sheriff's Office, NY
Chief of Police Joe Cletus Wall,Gunfire,1967-06-09,Chesnee Police Department, SC
Chief of Police Gerald Boos,Gunfire,1967-06-10,St. Francis Police Department, MN
Sergeant Donald C. Williams,Heart attack,1967-06-12,Hillsborough County Sheriff's Office, FL
Detective Walter Ferguson,Heart attack,1967-06-15,New York City Police Department, NY
Patrolman Lloyd Herman Innes,Gunfire,1967-06-16,New York City Transit Police Department, NY
"Border Patrol Inspector Theodore L. Newton, Jr.",Gunfire,1967-06-17,United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US
Border Patrol Inspector George F. Azrak,Gunfire,1967-06-17,United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US
Captain Donald Lee Barnes,Struck by vehicle,1967-07-01,Alsip Police Department, IL
Marshal Fred John Schlote,Assault,1967-07-02,Oconto Marshal's Office, NE
Patrolman Andrew Hickerson,Gunfire,1967-07-06,Ville Platte Police Department, LA
Detective Frederick W. Toto,Gunfire,1967-07-14,Newark Police Department, NJ
Patrolman Jerry A. Green,Vehicle pursuit,1967-07-15,Bloomington Police Department, IN
"Patrolman John Vincent Gleason, Jr.",Assault,1967-07-16,Plainfield Police Department, NJ
Trooper Randolph G. Glover,Automobile accident,1967-07-19,Alabama Department of Public Safety, AL
Officer Frank Arthur Story,Gunfire,1967-07-19,California Highway Patrol, CA
Officer Clarence Marigny,Gunfire,1967-07-20,Covington Police Department, LA
Ranger William Earl Hobbs,Gunfire,1967-07-21,Georgia Department of Natural Resources, GA
Police Officer Jerome J. Olshove,Gunfire,1967-07-25,Detroit Police Department, MI
"Deputy Sheriff Clarence D. ""Doc"" Lanham",Heart attack,1967-07-27,McLean County Sheriff's Department, IL
Patrolman Charles L. Robbins,Gunfire (Accidental),1967-07-29,Berryville Police Department, AR
Sergeant William L. Griffin,Gunfire,1967-07-29,Jacksonville Police Department, FL
Patrolman Joseph Eual Messer,Gunfire (Accidental),1967-07-29,Oliver Springs Police Department, TN
Police Officer Bryan J. Moschea,Gunfire,1967-07-31,Milwaukee Police Department, WI
"Officer Paul Aaron Emerson, Sr.",Gunfire,1967-08-03,Port Arthur Police Department, TX
Police Officer Floyd Joseph Haley,Gunfire,1967-08-06,Rochester Police Department, MN
Sergeant Albert Weller,Heart attack,1967-08-06,Cincinnati Police Department, OH
Officer David Noel Seibert,Gunfire,1967-08-10,Torrance Police Department, CA
Detective Paul B. Whitehead,Gunfire,1967-08-10,Lincoln Police Department, NE
Patrolman Earl Dean Compton,Automobile accident,1967-08-13,Iva Police Department, SC
"Patrolman Ronald S. St. Germain, Sr.",Motorcycle accident,1967-08-19,South Bend Police Department, IN
Police Officer John C. Williams,Fire,1967-08-21,Baltimore City Police Department, MD
Deputy Sheriff Harold Lee Thornton,Gunfire,1967-08-23,Stanislaus County Sheriff's Department, CA
Police Officer Harvey R. Young,Gunfire,1967-08-25,Hartford Police Department, CT
Patrolman Donald V. Knott,Gunfire,1967-08-26,Long Beach Police Department, CA
Patrolman William L. Isham,Gunfire,1967-08-26,Long Beach Police Department, CA
Patrolman Brian Kloka,Vehicle pursuit,1967-08-29,Broadview Heights Police Department, OH
"Sergeant Richard A. Pallas, Jr.",Vehicular assault,1967-08-31,New York State Police, NY
Patrolman William Frederick Meyer,Gunfire,1967-09-01,Louisville Police Department, KY
Patrol Officer David P. Richards,Motorcycle accident,1967-09-01,Seattle Police Department, WA
Constable Fitchue Bee Barker,Gunfire,1967-09-01,Chattaroy Police Department, WV
Police Officer Lloyd W. Worthy,Gunfire,1967-09-02,Little Rock Police Department, AR
Chief of Police Roy Franklin Fores,Heart attack,1967-09-03,Bladenboro Police Department, NC
Special Agent Lee Charles Hitchcock,Bomb,1967-09-10,United States Air Force Office of Special Investigations, US
Patrolman Charles E. Cadorette,Gunfire,1967-09-11,Ashland Police Department, MA
Detective Francis W. Sears,Heart attack,1967-09-11,Springfield Police Department, MA
Patrolman John Joseph Darcy,Vehicular assault,1967-09-13,New York City Police Department, NY
Patrolman James W. Nink,Vehicle pursuit,1967-09-16,Crest Hill Police Department, IL
Deputy Sheriff Bennie Loel Tarleton,Heart attack,1967-09-17,Clarke County Sheriff's Department, AL
Town Marshal Perry W. Haviland,Gunfire,1967-09-17,Clay City Police Department, IN
Sergeant James Stiner,Gunfire,1967-09-18,Arizona Department of Corrections, AZ
Trooper Warren L. Allen,Automobile accident,1967-09-21,Illinois State Police, IL
Officer Charles Lee Eustes,Gunfire,1967-09-24,St. Petersburg Police Department, FL
Trooper Richard G. Brown,Struck by vehicle,1967-09-27,Indiana State Police, IN
Deputy Sheriff Francis S. Townsend,Heart attack,1967-09-30,Fremont County Sheriff's Office, CO
Agent Robert Romero,Automobile accident,1967-09-30,New Mexico State Police, NM
Corrections Captain William Minehart Zimmerman,Heart attack,1967-10-01,Iowa Department of Corrections, IA
Deputy Sheriff John O. Yount,Heart attack,1967-10-01,Catawba County Sheriff's Office, NC
Police Officer Robert H. Keller,Gunfire,1967-10-05,Huntington Park Police Department, CA
"Sergeant Lloyd E. Verrett, Sr.",Gunfire,1967-10-05,New Orleans Police Department, LA
Police Officer Kenneth G. Howe,Automobile accident,1967-10-06,Macon Police Department, GA
"Police Officer Henry O. Wendell, Jr.",Struck by vehicle,1967-10-06,Pearland Police Department, TX
Chief of Police R. O. Snow,Accidental,1967-10-07,Tunica Police Department, MS
Sergeant Paul DeWeert,Gunfire,1967-10-08,Las Vegas Police Department, NV
Conservation Officer Stanley L. Larson,Animal related,1967-10-10,Idaho Department of Fish and Game, ID
Deputy Sheriff William David Hoyt,Gunfire,1967-10-11,Lake County Sheriff's Office, CA
Deputy Sheriff James W. Waygood,Automobile accident,1967-10-11,Los Angeles County Sheriff's Department, CA
Patrolman Louis P. Rienzo,Struck by vehicle,1967-10-11,New Haven Police Department, CT
"Sheriff Milo ""Mike"" Lewis",Gunfire,1967-10-11,Pulaski County Sheriff's Department, IN
Conservation Officer William Mooney,Duty related illness,1967-10-18,New Hampshire Fish and Game Department, NH
Border Patrol Inspector Elgar B. Holliday,Heart attack,1967-10-18,United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US
Patrolman James A. Dandridge,Gunfire (Accidental),1967-10-20,New York City Police Department, NY
Deputy Sheriff Cleo Meeks,Gunfire,1967-10-21,Washita County Sheriff's Office, OK
Patrolman William A. Richards,Heart attack,1967-10-23,Long Branch Police Department, NJ
Deputy Sheriff Charles Harold Gates,Gunfire,1967-10-25,Marion County Sheriff's Department, IA
"Night Chief James Vallard ""Jim"" Smith",Gunfire (Accidental),1967-10-25,Barbourville Police Department, KY
Trooper Charles Warren Perkins,Vehicle pursuit,1967-10-26,New York State Police, NY
Policeman Angel R. Fuentes-Ortiz,Automobile accident,1967-10-26,Puerto Rico Police Department, PR
Police Officer Anthony P. Perri,Gunfire,1967-10-27,Northlake Police Department, IL
"Detective Sergeant John J. Nagle, Jr.",Gunfire,1967-10-27,Northlake Police Department, IL
Police Officer Robert M. LaMotta,Motorcycle accident,1967-10-27,Newark Police Department, NJ
Police Officer John F. Frey,Gunfire,1967-10-28,Oakland Police Department, CA
Officer Charles R. Lilly,Vehicular assault,1967-10-29,California Highway Patrol, CA
Lieutenant Stanley P. Przygocki,Gunfire,1967-10-29,Jersey City Police Department, NJ
"Patrolman James J. Hodgdon, III",Automobile accident,1967-11-04,Lexington Police Department, MA
Detective Samuel D. Sumner,Automobile accident,1967-11-05,Montgomery Police Department, AL
Chief Deputy Sheriff Charles Edwin Cooke,Automobile accident,1967-11-05,Waller County Sheriff's Department, TX
Correctional Officer William E. McCasling,Assault,1967-11-10,Illinois Department of Corrections, IL
Patrolman Norman D. Barr,Vehicular assault,1967-11-10,Haverford Township Police Department, PA
Sergeant Cecil Sullivan,Automobile accident,1967-11-12,Troy Police Department, AL
Officer James Douglas Stewart,Vehicle pursuit,1967-11-12,Dallas Police Department, TX
Police Officer Ernest Schwoeble,Heart attack,1967-11-13,Philadelphia Police Department, PA
Trooper Donald Timothy Welp,Drowned,1967-11-15,Oregon State Police, OR
Lieutenant John Lewis Thomas,Gunfire,1967-11-21,Fayette County Police Department, KY
Detective Gilbert M. Silvia,Gunfire,1967-11-25,Metropolitan Police Department, DC
Patrolman Robert L. Tatman,Gunfire,1967-11-25,Champaign Police Department, IL
"Patrol Officer Eugene Hollins, Sr.",Gunfire,1967-11-25,Petersburg Police Department, VA
Patrolman William F. Gleisle,Gunfire,1967-11-27,Buffalo Police Department, NY
Correctional Officer James Paugh,Automobile accident,1967-11-28,West Virginia Division of Corrections, WV
Patrolman Joseph L. Price,Gunfire,1967-11-29,Louisville Police Department, KY
Officer Fred Earl Babb,Gunfire,1967-12-01,Apalachicola Police Department, FL
Detective Walter Patrick McCarthy,Gunfire (Accidental),1967-12-02,Cook County Sheriff's Police Department, IL
Sergeant Salvatore Genualdi,Vehicular assault,1967-12-04,Streamwood Police Department, IL
Police Officer John L. Stephens,Gunfire,1967-12-05,Council Bluffs Police Department, IA
Patrolman Robert M. Clifton,Gunfire,1967-12-05,Joplin Police Department, MO
Patrolman Gary D. McCullen,Gunfire,1967-12-08,Saginaw Police Department, MI
Patrol Officer John H. Perkey,Vehicle pursuit,1967-12-08,Knoxville Police Department, TN
Correctional Officer George L. Lee,Assault,1967-12-09,Vermont Department of Corrections, VT
"Deputy Sheriff Charles Thomas Driggers, Sr.",Gunfire,1967-12-10,Dixie County Sheriff's Office, FL
Patrolman James A. Nelson,Automobile accident,1967-12-11,Plymouth Police Department, IN
Patrolman John S. Collins,Gunfire,1967-12-13,Chicago Police Department, IL
Patrolman Charles W. Pollard,Gunfire,1967-12-14,Chicago Police Department, IL
Trooper William G. Doyle,Gunfire,1967-12-14,New York State Police, NY
Sergeant Melvin Chester Means,Struck by vehicle,1967-12-15,Olympia Fields Police Department, IL
Officer Herman L. George,Gunfire,1967-12-16,San Francisco Police Department, CA
Patrolman Gerald R. Williams,Struck by vehicle,1967-12-16,Colorado State Patrol, CO
Special Deputy Bill John Yanich,Vehicular assault,1967-12-17,Newton County Sheriff's Department, IN
Lieutenant Paul J. Beaupre,Gunfire,1967-12-19,Bloomfield Police Department, CT
Police Officer Walter Franklin Stathers,Gunfire,1967-12-19,Coral Gables Police Department, FL
Special Agent Mansel Ross Burrell,Gunfire,1967-12-19,United States Department of the Treasury - Bureau of Narcotics, US
Officer Merle Lee Andrews,Gunfire,1967-12-20,California Highway Patrol, CA
Patrolman Robert Harris,Gunfire,1967-12-20,New York City Housing Authority Police Department, NY
Master Sergeant William Kenny,Automobile accident,1967-12-21,Mississippi Department of Public Safety - Highway Patrol, MS
Patrolman George H. Bishop,Aircraft accident,1967-12-21,New York City Police Department, NY
Patrolman Plato B. Arvanitis,Aircraft accident,1967-12-21,New York City Police Department, NY
Captain Vincent Swiskoski,Gunfire,1967-12-22,Walsenburg Police Department, CO
Corporal Joseph Paul Bertrand,Gunfire,1967-12-22,Florida Highway Patrol, FL
Patrolman Billy Ray Wynn,Automobile accident,1967-12-24,Texas Department of Public Safety - Texas Highway Patrol, TX
Deputy Sheriff Frank Earl Dannenberg,Assault,1967-12-25,Cook County Sheriff's Office - Department of Court Services, IL
Detective Kathleen M. Reilly,Struck by vehicle,1967-12-25,Nassau County Police Department, NY
Game Warden I. L. Todd,Heart attack,1967-12-27,"Montana Department of Fish, Wildlife and Parks", MT
Reserve Deputy Sheriff Chester A. Alquist,Vehicular assault,1968-01-02,Washington County Sheriff's Office, OR
Patrolman Fred Carlton Burns,Automobile accident,1968-01-02,Texas Department of Public Safety - Texas Highway Patrol, TX
Patrol Officer Benjamin Franklin Strong,Gunfire,1968-01-04,Anchorage Police Department, AK
Patrolman Larry B. Enloe,Gunfire,1968-01-08,Colorado State Patrol, CO
Officer Kenneth E. Marshall,Vehicle pursuit,1968-01-09,California Highway Patrol, CA
Deputy Sheriff Clifford H. Mohler,Heart attack,1968-01-09,Wayne County Sheriff's Department, OH
Sergeant Billy Ray Dease,Struck by vehicle,1968-01-15,Troy Police Department, AL
Patrolman Robert J. Arnold,Gunfire,1968-01-15,Buffalo Police Department, NY
Officer Thomas E. Johnson,Gunfire,1968-01-16,Metro Nashville Police Department, TN
Corrections Employee Leonard Tatro,Stabbed,1968-01-19,Illinois Department of Corrections, IL
Sergeant Eldon K. Miller,Gunfire,1968-01-19,Kansas Highway Patrol, KS
Patrolman Joe Preston Murphy,Automobile accident,1968-01-29,Frisco Police Department, TX
Patrolman Stephen Dell'Aquilla,Motorcycle accident,1968-01-31,New York City Police Department, NY
Officer Jake B. Edwards,Motorcycle accident,1968-02-01,Jacksonville Police Department, FL
Officer Lawrence L. Dorsey,Gunfire,1968-02-02,Metropolitan Police Department, DC
Patrolman Hugh Levon Butler,Gunfire (Accidental),1968-02-02,Kansas City Police Department, MO
Officer J. D. Blackwell,Vehicular assault,1968-02-04,Baton Rouge City Police Department, LA
Chief of Police Michael Donald Onka,Gunfire,1968-02-05,Sugar Creek Police Department, MO
Patrolman Robert D. Pare,Gunfire,1968-02-09,Trenton Police Department, MI
Officer George E. Welter,Motorcycle accident,1968-02-09,Lincoln Police Department, NE
Policeman Donald L. Highley,Vehicular assault,1968-02-10,Los Angeles Police Department, CA
Patrolman Mitchell L. Nutter,Gunfire,1968-02-10,Orlando Police Department, FL
Trooper Roy Alford Mynatt,Vehicle pursuit,1968-02-11,Tennessee Highway Patrol, TN
Patrolman Anthony J. Graffia,Gunfire,1968-02-19,New York City Police Department, NY
Lieutenant Joseph D. Ferris,Automobile accident,1968-02-23,Louisiana State Police, LA
Patrolman James Edward Graff,Heart attack,1968-02-23,Pittsburgh Police Department, PA
Patrolman John Augulis,Heart attack,1968-02-24,New York City Police Department, NY
Officer Eugene I. Williams,Gunfire,1968-02-27,Metropolitan Police Department, DC
Patrolman Walter J. Rouse,Gunfire,1968-02-27,Goldsboro Police Department, NC
Policeman Pedro M. Rios-Perez,Automobile accident,1968-02-29,Puerto Rico Police Department, PR
Detective Rodney Leroy Hendricks,Automobile accident,1968-03-07,Fremont Police Department, CA
Patrolman Robert Earl Sparks,Vehicle pursuit,1968-03-08,Raleigh Police Department, NC
Corrections Officer Donald Hiles,Assault,1968-03-08,New Jersey Department of Corrections, NJ
Deputy Sheriff Pat Slape,Struck by train,1968-03-10,El Paso County Sheriff's Office, TX
Police Officer John E. Bartlett,Struck by vehicle,1968-03-11,Seattle Police Department, WA
Patrolman Cecil H. Hoffman,Vehicle pursuit,1968-03-15,North Carolina Highway Patrol, NC
Officer Charles W. Thomasson,Gunfire,1968-03-17,Metro Nashville Police Department, TN
"Private John William Leatherbury, Jr.",Aircraft accident,1968-03-21,Prince George's County Police Department, MD
Chief of Police Grady Franklin Dacus,Vehicle pursuit,1968-03-23,Buford Police Department, GA
